ad_id,text,label
0,Hiring office assistant. paid vacation. hourly wage.,0
1,Looking for barista. health insurance. paid vacation.,0
2,Travel job needed immediately. no documents needed. cash only.,1
3,Looking for warehouse worker. health insurance. paid vacation.,0
4,Travel job needed immediately. passport held for processing. strict supervision required.,1
5,Hiring restaurant server. employee discount. weekly pay.,0
6,Massage service needed immediately. manager handles payment. no documents needed.,1
7,Hiring hotel staff. health insurance. legal contract.,0
8,Travel job needed immediately. no documents needed. passport held for processing.,1
9,Urgent hiring for restaurant work. passport held for processing. stay with employer.,1
10,Barista position open. benefits included. flexible schedule.,0
11,Delivery driver position open. health insurance. employee discount.,0
12,Hiring warehouse worker. legal contract. paid vacation.,0
13,Looking for delivery driver. weekly pay. flexible schedule.,0
14,Looking for data entry clerk. benefits included. overtime available.,0
15,Travel job needed immediately. cash only. no outside contact.,1
16,Looking for cleaning service. employee discount. legal contract.,0
17,Massage service available. no documents needed. must follow strict rules.,1
18,Looking for cleaning service. training provided. part-time or full-time.,0
19,Office assistant position open. training provided. benefits included.,0
20,Hiring warehouse worker. employee discount. career growth opportunities.,0
21,Private entertainment needed immediately. no documents needed. live on site.,1
22,Hotel staff position open. legal contract. flexible schedule.,0
23,Urgent hiring for massage service. must follow strict rules. transport provided.,1
24,Office assistant position open. employee discount. part-time or full-time.,0
25,Hiring customer support. paid vacation. employee discount.,0
26,Construction worker position open. benefits included. overtime available.,0
27,Urgent hiring for modeling job. cannot leave job site. passport held for processing.,1
28,Delivery driver position open. flexible schedule. weekly pay.,0
29,Looking for cleaning service. career growth opportunities. health insurance.,0
30,Barista position open. overtime available. employee discount.,0
31,Delivery driver position open. hourly wage. legal contract.,0
32,Private entertainment needed immediately. transport provided. no documents needed.,1
33,Delivery driver position open. training provided. hourly wage.,0
34,Warehouse worker position open. benefits included. legal contract.,0
35,Hiring restaurant server. employee discount. legal contract.,0
36,Office assistant position open. employee discount. benefits included.,0
37,Looking for barista. legal contract. career growth opportunities.,0
38,Looking for retail associate. legal contract. paid vacation.,0
39,Hiring hotel staff. health insurance. training provided.,0
40,Private entertainment needed immediately. cannot leave job site. stay with employer.,1
41,Travel job available. cash only. passport held for processing.,1
42,Hiring warehouse worker. part-time or full-time. health insurance.,0
43,Looking for hotel staff. part-time or full-time. career growth opportunities.,0
44,Warehouse worker position open. career growth opportunities. training provided.,0
45,Modeling job needed immediately. no outside contact. cannot leave job site.,1
46,Office assistant position open. benefits included. part-time or full-time.,0
47,Urgent hiring for massage service. must follow strict rules. no documents needed.,1
48,Massage service available. live on site. transport provided.,1
49,Farm work available. no outside contact. live on site.,1
50,Looking for cleaning service. health insurance. hourly wage.,0
51,Construction worker position open. career growth opportunities. employee discount.,0
52,Hiring retail associate. weekly pay. hourly wage.,0
53,Customer support position open. paid vacation. career growth opportunities.,0
54,Private entertainment available. stay with employer. live on site.,1
55,Hiring warehouse worker. paid vacation. part-time or full-time.,0
56,Hiring hotel staff. employee discount. benefits included.,0
57,Travel job needed immediately. no documents needed. manager handles payment.,1
58,Cleaning service position open. career growth opportunities. overtime available.,0
59,Urgent hiring for private entertainment. no documents needed. manager handles payment.,1
60,Looking for cleaning service. hourly wage. weekly pay.,0
61,Cleaning job needed immediately. transport provided. no outside contact.,1
62,Modeling job available. available at all times. transport provided.,1
63,Modeling job available. housing provided. no outside contact.,1
64,Private entertainment available. work off the books. cannot leave job site.,1
65,Hiring hotel staff. legal contract. career growth opportunities.,0
66,Looking for barista. training provided. flexible schedule.,0
67,Hiring data entry clerk. paid vacation. weekly pay.,0
68,Hiring office assistant. benefits included. career growth opportunities.,0
69,Office assistant position open. weekly pay. health insurance.,0
70,Urgent hiring for massage service. transport provided. available at all times.,1
71,Looking for barista. part-time or full-time. flexible schedule.,0
